revision;possibleRenamings;renamingsDueToIdentation
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_2e61c_0ca49/rev_2e61c-0ca49.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_gradle/revisions/rev_2e486_5430f/rev_2e486-5430f.revisions;2;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_junit/revisions/rev_2e539_be8d4/rev_2e539-be8d4.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_realmjava/revisions/rev_2eb11_b899c/rev_2eb11-b899c.revisions;8;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_lucenesolr/revisions/rev_2ede7_249fd/rev_2ede7-249fd.revisions;135;3
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_2ee06_326e5/rev_2ee06-326e5.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_lucenesolr/revisions/rev_2ee47_d80c1/rev_2ee47-d80c1.revisions;1;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_2f005_648ba/rev_2f005-648ba.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_voldemort/revisions/rev_2f5de_e5a49/rev_2f5de-e5a49.revisions;3;2
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_2f72f_22be2/rev_2f72f-22be2.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_2f90f_9e8e1/rev_2f90f-9e8e1.revisions;7;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_2f90f_c948f/rev_2f90f-c948f.revisions;7;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_2f208_0efce/rev_2f208-0efce.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_2f497_72166/rev_2f497-72166.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_junit/revisions/rev_2f879_6fb53/rev_2f879-6fb53.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_junit/revisions/rev_2f879_18136/rev_2f879-18136.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_junit/revisions/rev_2f879_bbacb/rev_2f879-bbacb.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_orientdb/revisions/rev_2fd1b_3ba4e/rev_2fd1b-3ba4e.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_03bbd_5ab6c/rev_03bbd-5ab6c.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_jedis/revisions/rev_03c0a_360e2/rev_03c0a-360e2.revisions;2;1
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_3a2bd_83cd5/rev_3a2bd-83cd5.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_3a13b_8fa42/rev_3a13b-8fa42.revisions;1;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_3a51c_c609f/rev_3a51c-c609f.revisions;5;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_3a63f_c5d50/rev_3a63f-c5d50.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cloudify/revisions/rev_3a94c_dfaa3/rev_3a94c-dfaa3.revisions;2;2
/home/ines/gjcc/fpfnanalysis/samplerpl/java_openrefine/revisions/rev_3aa1e_f3b18/rev_3aa1e-f3b18.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_3ac6f_e75f3/rev_3ac6f-e75f3.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_3afe6_e9617/rev_3afe6-e9617.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_3b289_a816a/rev_3b289-a816a.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_3b334_0de64/rev_3b334-0de64.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_3b776_0b1d8/rev_3b776-0b1d8.revisions;7;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_3b907_67112/rev_3b907-67112.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_3ba39_c2008/rev_3ba39-c2008.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_3bb84_4c25e/rev_3bb84-4c25e.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_3bb87_a5623/rev_3bb87-a5623.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_3be63_4ea74/rev_3be63-4ea74.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_3c2b9_d70ab/rev_3c2b9-d70ab.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_3c527_10b36/rev_3c527-10b36.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_3c795_72d30/rev_3c795-72d30.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_3ca74_05b2a/rev_3ca74-05b2a.revisions;1;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_3cc86_18a1a/rev_3cc86-18a1a.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_rxjava/rev_3cfc1_ef3ff/rev_3cfc1-ef3ff.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_3d0a6_190e0/rev_3d0a6-190e0.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_3d01e_98689/rev_3d01e-98689.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_realmjava/revisions/rev_3d1a2_11b1d/rev_3d1a2-11b1d.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_3d10f_0de41/rev_3d10f-0de41.revisions;0;0
